pid,group,case_index,question_id,source_position,document_id,rating,supports_llm,llm_answer,correct_choice,llm_is_correct
p02,1,1,1254,1,1,Does not support,False,C,C,True
p02,1,1,1254,2,2,Supports,True,C,C,True
p02,1,1,1254,3,7,Supports,True,C,C,True
p02,1,2,4915,1,1,Does not support,False,B,B,True
p02,1,3,554,1,3,Does not support,False,A,A,True
p02,1,3,554,2,5,Does not support,False,A,A,True
p02,1,3,554,3,9,Does not support,False,A,A,True
p02,1,4,83,1,2,Supports,True,A,A,True
p02,1,4,83,2,5,Does not support,False,A,A,True
p02,1,4,83,3,7,Supports,True,A,A,True
p02,1,4,83,4,9,Does not support,False,A,A,True
p02,1,5,59,1,2,Supports,True,B,B,True
p02,1,5,59,2,7,Supports,True,B,B,True
p02,1,6,9946,1,10,Supports,True,C,C,True
p02,1,7,8111,1,3,Supports,True,A,C,False
p02,1,7,8111,2,8,Does not support,False,A,C,False
p02,1,8,6933,1,5,Supports,True,B,B,True
p02,1,9,3376,1,1,Supports,True,C,C,True
p02,1,9,3376,2,3,Supports,True,C,C,True
p02,1,10,2518,1,1,Supports,True,D,D,True
p02,1,10,2518,2,5,Supports,True,D,D,True
p02,1,10,2518,3,6,Supports,True,D,D,True
p02,1,11,3245,1,1,Supports,True,C,C,True
p02,1,11,3245,2,6,Does not support,False,C,C,True
p02,1,12,2068,1,6,Supports,True,A,A,True
p02,1,13,463,1,1,Does not support,False,C,C,True
p02,1,13,463,2,4,Supports,True,C,C,True
p02,1,14,260,1,2,Supports,True,C,D,False
p02,1,15,586,1,1,Supports,True,D,D,True
p02,1,15,586,2,2,Supports,True,D,D,True
p02,1,15,586,3,4,Supports,True,D,D,True
p02,1,15,586,4,6,Supports,True,D,D,True
p02,1,16,302,1,7,Supports,True,C,C,True
p02,1,16,302,2,6,Does not support,False,C,C,True
p03,1,1,1254,1,1,Does not support,False,C,C,True
p03,1,1,1254,2,2,Supports,True,C,C,True
p03,1,1,1254,3,7,Supports,True,C,C,True
p03,1,2,4915,1,1,Supports,True,B,B,True
