question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory,language,is_valid,quality_notes,question_structure,difficulty,difficulty_rationale
1,Metabolic Systemic,common,diagnosis,False,Polycystic Ovarian Syndrome,Polycystic Ovary Syndrome,Endocrine-Associated,english,True,,vignette,easy,"The presentation of irregular menses, hirsutism, acne, obesity, and impaired glucose tolerance strongly indicates PCOS, a common diagnosis familiar to general dermatologists."
0,Inflammatory,common,diagnosis,True,Psoriasis,Psoriasis Vulgaris,Papulosquamous,english,True,,short_stem,easy,Associating nail pitting with psoriasis and extensor silvery plaques is core dermatology knowledge commonly recalled by general dermatologists.
2,Infectious,common,diagnosis,False,Tinea Cruris,Tinea Cruris,Fungal,english,True,,vignette,easy,Classic presentation of tinea cruris in an athlete confirmed by KOH prep is core dermatology knowledge.
3,Infectious,common,diagnosis,True,Tinea Versicolor,Tinea Versicolor,Fungal,english,True,,vignette,easy,Identifying tinea versicolor by hypopigmented patches after sun exposure and confirming with KOH prep is core dermatology knowledge.
4,Neoplastic,moderate,epidemiology,False,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,Malignant,english,True,,vignette,easy,Identifying acral lentiginous melanoma as the most common melanoma subtype in individuals with darker skin is core dermatology knowledge.
5,Neoplastic,moderate,diagnosis,True,Mycosis Fungoides,Mycosis Fungoides,Malignant,english,True,,vignette,medium,Recognizing generalized erythroderma with patches/plaques and a >1 cm tumor (tumor stage) as cutaneous T-cell lymphoma/mycosis fungoides requires solid dermatology training and familiarity with lymphoma staging rather than basic derm knowledge.
6,Infectious,rare,mechanism,False,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,english,True,,vignette,medium,"Identifying IgM as the primary early humoral defense against an acute Staphylococcus aureus toxin-mediated infection requires immunology recall beyond routine dermatology knowledge, though the clinical diagnosis is straightforward."
7,Infectious,common,diagnosis,False,Chickenpox,Varicella,Viral,english,True,,vignette,easy,"Classic pediatric varicella presentation with pruritic lesions in multiple stages (macules, papules, vesicles, crusts) and mild prodrome, distinguishing it readily from measles, rubella, and contact dermatitis."
8,Infectious,common,mechanism,False,Herpes Zoster,Herpes Zoster,Viral,english,True,,vignette,easy,"Classic herpes zoster presentation with a unilateral dermatomal vesicular rash and burning pain, attributed to varicella-zoster virus reactivation in dorsal root ganglia, is core knowledge for general dermatology."
9,Inflammatory,common,treatment,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,easy,Knowing that combined oral contraceptives reduce ovarian (and endometrial) cancer risk is core general medical knowledge relevant to dermatology when prescribing for acne.
10,Neoplastic,common,diagnosis,False,Squamous Cell Carcinoma,Squamous Cell Carcinoma,Malignant,english,True,,vignette,easy,"Classic presentation of lower lip painless nonhealing ulcer in an older smoker with chronic sun exposure strongly indicates squamous cell carcinoma, a core dermatologic diagnosis."
11,Inflammatory,common,mechanism,False,Urticaria,Urticaria,Vascular & Urticarial,english,True,,short_stem,easy,Recognizing that urticarial wheals from IgE-mediated histamine release involve dermal edema rather than epidermal layers is core dermatology knowledge.
12,Pigmentation,moderate,diagnosis,False,Vitiligo,Vitiligo,Hypopigmentation,english,True,,vignette,easy,Identifying vitiligo by the hallmark histology of absent epidermal melanocytes is core dermatology knowledge and distinguishes it clearly from tinea versicolor and albinism.
13,Infectious,moderate,diagnosis,True,Leprosy,Leprosy,Bacterial,english,True,,vignette,easy,Recognizing leprosy (Mycobacterium leprae) from thickened facial skin and peripheral neuropathy and knowing mycobacteria are acid-fast is core dermatology knowledge.
14,Genetic Rare,rare,mechanism,False,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses,english,True,,vignette,easy,"Classic presentation of xeroderma pigmentosum with severe photosensitivity and ocular involvement, directly linked to defective nucleotide excision repair."
16,Genetic Rare,rare,epidemiology,False,Ipex Syndrome,IPEX Syndrome,Syndromic,english,True,,vignette,medium,Recognizing FOXP3 mutation with Treg defect as IPEX syndrome and linking it to autoimmune endocrinopathy requires solid training beyond basic dermatology despite classic associations with eczema and chronic diarrhea.
15,Neoplastic,common,diagnosis,True,Actinic Keratosis,Actinic Keratosis,Premalignant,english,True,,vignette,easy,"Recognizing actinic keratosis on a sun-exposed scalp of an older man with significant cumulative UV exposure is a classic, high-frequency presentation familiar to any general dermatologist."
17,Neoplastic,moderate,diagnosis,True,Keratoacanthoma,Keratoacanthoma,Premalignant,english,True,,vignette,easy,"Classic presentation and histology of a rapidly growing dome-shaped lesion with central keratin plug in a sun-exposed elderly patient points clearly to keratoacanthoma, a core dermatology diagnosis."
18,Inflammatory,moderate,mechanism,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,Classic bullous pemphigoid presentation with linear IgG at the basement membrane pointing to hemidesmosomes is core dermatology knowledge.
19,Inflammatory,moderate,diagnosis,False,Antiphospholipid Syndrome,Antiphospholipid Syndrome,Vascular & Urticarial,english,True,,vignette,easy,"Classic features of antiphospholipid syndrome—recurrent early miscarriages, livedo reticularis, and superficial thrombophlebitis—point to anticardiolipin antibodies, a core association most dermatologists readily recall."
20,Neoplastic,common,diagnosis,False,Melanoma,Melanoma,Malignant,english,True,,short_stem,easy,Identifying color variegation as a classic ABCDE feature of melanoma is core dermatology knowledge that most general dermatologists recall readily.
21,Inflammatory,moderate,diagnosis,False,Mixed Connective Tissue Disease,Mixed Connective Tissue Disease,Autoimmune,english,True,,vignette,medium,"Recognizing mixed connective tissue disease requires integrating Raynaud’s phenomenon with myositis signs and the specific serology of anti-U1 RNP, a step beyond basic core knowledge but familiar to well-trained dermatologists."
22,Inflammatory,moderate,diagnosis,False,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,english,True,,vignette,medium,"Identifying lamotrigine as the cause requires recalling its association with erythema multiforme/Stevens-Johnson–like targetoid eruptions after initiation, distinguishing it from other bipolar treatments less commonly linked to acute target lesions."
23,Inflammatory,rare,treatment,False,Warfarin-Induced Skin Necrosis,Warfarin-Induced Skin Necrosis,Vascular & Urticarial,english,True,,vignette,easy,"Classic warfarin-induced skin necrosis shortly after initiation in a patient with risk factors, treated with protein C replacement is core knowledge for general dermatologists."
24,Infectious,moderate,treatment,False,Herpetic Whitlow,Herpetic Whitlow,Viral,english,True,,vignette,easy,"Classic presentation of herpetic whitlow in a healthcare worker with grouped tender vesicles on a finger, for which oral acyclovir is standard management that general dermatologists readily recognize."
25,Infectious,common,treatment,False,Tinea Corporis,Tinea Corporis,Fungal,english,True,,vignette,easy,Classic tinea corporis confirmed by KOH hyphae should be treated with an antifungal; recognizing itraconazole (a systemic antifungal) over antibiotics is straightforward core knowledge.
26,Infectious,moderate,mechanism,False,Cat Scratch Disease,Cat Scratch Disease,Bacterial,english,True,,vignette,medium,"Recognizing cat scratch disease from linear inoculation lesions, regional lymphadenopathy, and necrotizing granulomas and linking Bartonella henselae to bacillary angiomatosis requires solid training beyond basic dermatology knowledge."
27,Infectious,common,diagnosis,True,Molluscum Contagiosum,Molluscum Contagiosum,Viral,english,True,,vignette,easy,"Central umbilicated, dome-shaped papules are classic for molluscum contagiosum and should be readily recognized by any general dermatologist."
29,Neoplastic,common,diagnosis,True,Dermatofibroma,Dermatofibroma,Benign,english,True,,vignette,easy,"Recognition of a firm hyperpigmented papule with dimpling on lateral compression (dimple sign) is a classic, high-yield feature of dermatofibroma that general dermatologists readily recall."
28,Inflammatory,common,treatment,True,Rosacea,Rosacea,Papulosquamous,english,True,,vignette,easy,"Classic presentation of rosacea triggered by sun/heat with central facial erythema is commonly managed first-line with topical metronidazole, a core treatment most dermatologists recall readily."
30,Metabolic Systemic,moderate,diagnosis,False,Zinc Deficiency,Zinc Deficiency,Nutritional,english,True,,vignette,medium,"Recognizing acrodermatitis enteropathica–like findings (periorificial bullous plaques, alopecia) plus dysgeusia and malabsorption after small bowel resection as zinc deficiency requires integrating multiple clinical clues beyond basic dermatology knowledge."
31,Inflammatory,moderate,treatment,False,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune,english,True,,vignette,easy,Recognizing that chronic systemic corticosteroid use increases risk of osteoporosis and fragility fractures—classically hip (femoral neck) and vertebral—is core knowledge for general dermatologists who commonly prescribe steroids.
33,Infectious,common,diagnosis,False,Tinea Cruris,Tinea Cruris,Fungal,english,True,,vignette,easy,"Classic presentation of tinea cruris with pruritic, well-demarcated inguinal rash sparing the scrotum in a wrestler, a core diagnosis for general dermatologists."
32,Infectious,common,diagnosis,True,Varicella,Varicella,Viral,english,True,,vignette,easy,"Identifying varicella in an unvaccinated toddler with pruritic rash starting on the trunk and spreading, typically with lesions in different stages, is core pediatric dermatology knowledge."
34,Genetic Rare,moderate,diagnosis,True,Ichthyosis Vulgaris,Ichthyosis Vulgaris,Genodermatoses,english,True,,vignette,easy,"Classic presentation of ichthyosis vulgaris with childhood onset, winter worsening, sparing of flexures, follicular hyperkeratosis, and palmar hyperlinearity—core knowledge for general dermatologists."
35,Inflammatory,common,mechanism,True,Urticaria,Urticaria,Vascular & Urticarial,english,True,,short_stem,easy,Identifying an acute urticarial drug reaction from pruritic wheals after starting an antibiotic and linking it to superficial dermal edema due to increased vascular permeability is core dermatology knowledge.
36,Infectious,common,treatment,False,Enterobiasis,Enterobiasis,Parasitic & Other,english,True,,vignette,easy,"Recognizing perianal pruritus with positive scotch tape test as Enterobius vermicularis and knowing pyrantel pamoate as an alternative to albendazole is core, commonly tested knowledge."
37,Infectious,common,other,False,Tinea Versicolor,Tinea Versicolor,Fungal,english,True,,one_liner,easy,"Computing number needed to treat from trial cure rates (ARR = 190/250 − 165/250 = 25/250, NNT = 1/ARR = 250/25) is basic clinical epidemiology knowledge expected of general dermatologists."
