question_id,question,answer_options,correct_choice,llm_response,llm_response_raw,used_sources,answer_source,conditions,retrieval_iterations,final_doc_count,final_sufficient,retrieval_history,retrieved_documents,final_confidence
1,"A 27-year-old woman presents to the office with concerns about her long struggle with her physical appearance since adolescence. She says she has always been ""large"" and was constantly targeted by her classmates and coworkers for being so. Her main concern at the moment is her acne and unwanted facial hair on her upper lip, for which she often visits a local spa. She has tried numerous diet plans, exercise regimens, and cosmetic products with little to no effect. Recently, she underwent a glucose tolerance test that showed a plasma glucose level of 160 mg/dL (8.9 mmol/L) after 2 hours of a 75 g dose of oral glucose. She has a family history of type 2 diabetes mellitus and a menstrual cycle that occurs every 45 days. Her pulse is 72/min and the blood pressure is 138/80 mm Hg. On physical examination, her height is 160 cm (5 ft 3 in) and her weight is 85 kg (187 lb), and she has severe inflammatory acne over the cheeks and forehead and dark coarse hairs on the back. What is the most likely diagnosis of this patient?","{""A"": ""Hypothyroidism"", ""B"": ""Idiopathic hirsutism"", ""C"": ""Polycystic ovarian syndrome (PCOS)"", ""D"": ""Ovarian hyperthecosis""}",C,C, C,,non_rag,,0,0,,,,
10,A 58-year-old white man with hypertension and type 2 diabetes mellitus comes to the physician because of a 3-month history of a painless lesion on his lower lip. He has smoked one pack of cigarettes daily for 20 years. He has worked as a fruit picker for the past 25 years. His current medications include captopril and metformin. Examination of the oral cavity shows a single ulcer near the vermillion border. Which of the following is the most likely diagnosis?,"{""A"": ""Squamous cell carcinoma"", ""B"": ""Aphthous stomatitis"", ""C"": ""Actinic keratosis"", ""D"": ""Traumatic ulcer""}",A,A, A,,non_rag,,0,0,,,,
100,"A 50-year-old male visits his primary care physician with skin lesions on his knees and elbows. He reports joint pain, and physical examination reveals severe swelling of the fingers on both hands. Tests for serum rheumatoid factor are negative. Which of the following pairs of adjectives most likely characterize the patient’s skin lesions:","{""A"": ""Honey-colored, crusting"", ""B"": ""Irregular, depigmented"", ""C"": ""Silver, scaly"", ""D"": ""Non-blanching, hemorrhagic""}",C,C, C,,non_rag,,0,0,,,,
1000,"A 65-year-old man presents to his primary care physician for a rash. He states that for the past several days he has felt burning and itching around his eye. Yesterday, he noticed that a rash had formed. Review of systems is notable for mild diarrhea for the past week. The patient has a past medical history of diabetes, asthma, seasonal allergies, and hypertension. He is not currently taking any medications. Physical exam is notable for a vesicular rash surrounding the orbit. Which of the following is the best next step in management?","{""A"": ""Acyclovir"", ""B"": ""Oral steroids"", ""C"": ""Removal of gluten containing products from the diet"", ""D"": ""Topical muciporin"", ""E"": ""Topical steroids""}",A,A, A,,non_rag,,0,0,,,,
1002,"A 69-year-old man with no significant past medical history presents to his primary care doctor for a travel evaluation. He plans to tour countries in the Middle East and Southeast Asia as part of his post-retirement celebration and requests recommendations on necessary immunizations. He denies any history of venous thromboembolism, previous surgeries, or dependence on any medications. He regularly rows, runs outside, and regularly participates in competitions to stay in shape. His temperature is 97°F (36.1°C), blood pressure is 116/78 mmHg, pulse is 60/min, and respirations are 15/min. Auscultation of his lungs and heart are unremarkable for any unusual rales or murmurs, respectively. His musculoskeletal exam is grossly equal and symmetric bilaterally with no evidence of ataxia on gait assessment. His skin exam is notable for the finding in Figure A. What is the most likely diagnosis?","{""A"": ""Squamous cell carcinoma"", ""B"": ""Basal cell carcinoma"", ""C"": ""Dysplastic nevus"", ""D"": ""Actinic keratosis"", ""E"": ""Seborrheic keratosis""}",D,E, E,,non_rag,,0,0,,,,
1004,"A 21-year-old man presents to his primary care physician for a new rash. He is concerned that the rash has not improved over the past week. He otherwise states that he feels well, but the anxiety surrounding his college finals and his underlying irritable bowel syndrome has caused him to lose 10 pounds this past month. The patient admits to having sex with multiple female partners and does not use condoms. Review of systems is notable for seasonal allergies, mild diarrhea, and asthma. Physical exam reveals the skin findings in Figure A. Which of the following findings is most likely to be found in this patient?","{""A"": ""Edema of the epidermis on skin biopsy"", ""B"": ""Multinucleated giant cells on a Tzanck test"", ""C"": ""PAS positive material with foamy macrophages on bowel biopsy"", ""D"": ""Thin granulosum with elongated dermal papillae on skin biopsy"", ""E"": ""Villous atrophy on bowel biopsy""}",E,B, B,,non_rag,,0,0,,,,
1005,"A 9-year-old boy with a history of acute lymphoblastic leukemia is brought to the clinic by his mother because of pruritic vesicles that appeared on the left side of his torso 12 hours ago. One day earlier, before the appearance of the vesicles, the patient’s mother notes that he had been complaining of a burning sensation in that area. The boy has been receiving chemotherapy consisting of methotrexate, cytarabine, and cyclophosphamide for 1 month. He received the last treatment 2 days ago. He has no other past medical history. The patient is afebrile and vital signs are within normal limits. Upon physical examination, there are painful vesicles are localized to the left C7 skin dermatome (see image). Which of the following is the most likely etiology of the skin lesions in this patient?","{""A"": ""Viral infection of the skin"", ""B"": ""Reactivation of the varicella zoster virus (VZV) due to congenital immunodeficiency"", ""C"": ""Chickenpox"", ""D"": ""Reactivation of VZV due to immunodeficiency caused by chemotherapy"", ""E"": ""Bacterial infection of the skin""}",D,D, D,,non_rag,,0,0,,,,
1006,"A 70-year-old man is at his dermatologist’s office for the treatment of a severely pruritic erythroderma with scaling on his buttocks that has been slowly progressing over the past two weeks. The patient works as a truck driver and has a history of hypertension treated with enalapril. The patient reports having tried an over-the-counter cream on the rash without improvement. The vital signs are within normal range. On physical exam, he has multiple confluent and well-demarcated pink patches on his buttocks and legs with some scaling and enlarged inguinal lymph nodes. The dermatologist orders a skin biopsy that reveals Pautrier microabscesses. What is the most likely diagnosis?","{""A"": ""Psoriasis"", ""B"": ""Linchen planus"", ""C"": ""Atopic dermatitis"", ""D"": ""Mycosis fungoides"", ""E"": ""Kaposi sarcoma""}",D,D, D,,non_rag,,0,0,,,,
1007,"A 23-year-old woman makes an appointment with a dermatologist for treatment of acne. As a result, she feels uncomfortable in public and feels as though everyone is looking at the pimples on her face. She cleans her face several times a day with face wash and avoids using make-up. She has tried many face creams and scar removal creams to help improve the condition of her skin, but nothing has worked. On examination, she has pustular acne on her cheeks and forehead. The physician prescribes an antibiotic along with isotretinoin. Which of the following drugs would you recommend in conjunction with isotretinoin?","{""A"": ""Statins"", ""B"": ""Oral contraceptives"", ""C"": ""Folic acid"", ""D"": ""Antihypertensives"", ""E"": ""Vitamin B6""}",B,B, B,,non_rag,,0,0,,,,
1009,"A 46-year-old man presents to the office complaining of dry, irritated eyes that have gotten worse over the last week. The patient states that he has also developed a red bumpy rash on his arms. On exam, his bilateral cornea and conjunctiva are dry and thickened. There are small ulcerations on the cornea. The skin of the bilateral arms has an erythematous rash characterized by small, white raised lesions. The patient has a history of alcoholism but has no other significant past medical history. What is most likely deficient in this patient?","{""A"": ""Folic acid"", ""B"": ""Vitamin B12"", ""C"": ""Vitamin K"", ""D"": ""Thiamine"", ""E"": ""Vitamin A""}",E,E, E,,non_rag,,0,0,,,,
